"series","sample","var","sd","ratio_vs_headline"
"Headline (full)","T=265 (1960-2025)",20.6766388649155,4.54715722896355,1
"GDP(E) full","T=265 (1960-2025)",36.118824686698,6.00989389978708,1.74684216920697
"GDP(I) full","T=265 (1960-2025)",26.147077499557,5.11342131058619,1.26457098130799
"GDP(P) full","T=265 (1960-2025)",22.6444279803824,4.7586161833439,1.09516968054252
"Latent mu (m1)","T=265 (1960-2025)",13.4237675096513,3.66384599971823,0.649223870347177
"Latent mu (m2)","T=265 (1960-2025)",13.4184598223554,3.66312159535489,0.648967170632557
"Latent mu (m3)","T=265 (1960-2025)",14.5909402033448,3.81980892236049,0.705672730402184
"Latent mu (m4)","T=265 (1960-2025)",14.4921301720213,3.80685305364172,0.700893905760081
"Latent mu (m5)","T=265 (1960-2025)",13.6897417979517,3.69996510766679,0.662087386996961
"Latent mu (m6)","T=265 (1960-2025)",13.2332132314764,3.63774837385386,0.640007948967507
"Latent mu (m7)","T=265 (1960-2025)",9.986174868737,3.16009095893409,0.482968964829276
"Latent mu (m9)","T=265 (1960-2025)",14.0781997671015,3.75209271835085,0.680874674993219
"Headline (4-signal subsample)","T=189 (1979-2025)",15.6795899857291,3.95974620218634,1
"Latent mu (m8)","T=189 (1979-2025)",11.7983131501229,3.4348672681958,0.752463116756318
"Latent mu (m10)","T=189 (1979-2025)",5.7591033506068,2.39981319077273,0.367299358965923
"Latent mu_q (m11, mixed-freq)","T_q~190 (1978-2025)",11.6803150511309,3.41764759024842,0.744937531004432
